Subject,Start Date,All Day Event
RUC 0, 02/16/2026, True
RUC 1, 02/17/2026, True
RUC 2 y 3, 02/18/2026, True
RUC 4 y 5, 02/19/2026, True
RUC 6 y 7, 02/20/2026, True
RUC 8 y 9, 02/23/2026, True
RUC BCU, 02/24/2026, True
RUC 0, 03/16/2026, True
RUC 1, 03/17/2026, True
RUC 2 y 3, 03/18/2026, True
RUC 4 y 5, 03/19/2026, True
RUC 6 y 7, 03/20/2026, True
RUC 8 y 9, 03/23/2026, True
RUC BCU, 03/24/2026, True
RUC 0, 04/17/2026, True
RUC 1, 04/20/2026, True
RUC 2 y 3, 04/21/2026, True
RUC 4 y 5, 04/22/2026, True
RUC 6 y 7, 04/23/2026, True
RUC 8 y 9, 04/24/2026, True
RUC BCU, 04/27/2026, True
RUC 0, 05/18/2026, True
RUC 1, 05/19/2026, True
RUC 2 y 3, 05/20/2026, True
RUC 4 y 5, 05/21/2026, True
RUC 6 y 7, 05/22/2026, True
RUC 8 y 9, 05/25/2026, True
RUC BCU, 05/26/2026, True
RUC 0, 06/15/2026, True
RUC 1, 06/16/2026, True
RUC 2 y 3, 06/17/2026, True
RUC 4 y 5, 06/18/2026, True
RUC 6 y 7, 06/19/2026, True
RUC 8 y 9, 06/22/2026, True
RUC BCU, 06/23/2026, True
RUC 0, 07/15/2026, True
RUC 1, 07/16/2026, True
RUC 2 y 3, 07/17/2026, True
RUC 4 y 5, 07/20/2026, True
RUC 6 y 7, 07/21/2026, True
RUC 8 y 9, 07/22/2026, True
RUC BCU, 07/24/2026, True
RUC 0, 08/18/2026, True
RUC 1, 08/19/2026, True
RUC 2 y 3, 08/20/2026, True
RUC 4 y 5, 08/21/2026, True
RUC 6 y 7, 08/24/2026, True
RUC 8 y 9, 08/25/2026, True
RUC BCU, 08/26/2026, True
RUC 0, 09/15/2026, True
RUC 1, 09/16/2026, True
RUC 2 y 3, 09/17/2026, True
RUC 4 y 5, 09/18/2026, True
RUC 6 y 7, 09/21/2026, True
RUC 8 y 9, 09/22/2026, True
RUC BCU, 09/23/2026, True
RUC 0, 10/16/2026, True
RUC 1, 10/19/2026, True
RUC 2 y 3, 10/20/2026, True
RUC 4 y 5, 10/21/2026, True
RUC 6 y 7, 10/22/2026, True
RUC 8 y 9, 10/23/2026, True
RUC BCU, 10/26/2026, True
RUC 0, 11/16/2026, True
RUC 1, 11/17/2026, True
RUC 2 y 3, 11/18/2026, True
RUC 4 y 5, 11/19/2026, True
RUC 6 y 7, 11/20/2026, True
RUC 8 y 9, 11/23/2026, True
RUC BCU, 11/24/2026, True
RUC 0, 12/17/2026, True
RUC 1, 12/18/2026, True
RUC 2 y 3, 12/21/2026, True
RUC 4 y 5, 12/22/2026, True
RUC 6 y 7, 12/23/2026, True
RUC 8 y 9, 12/24/2026, True
RUC BCU, 12/28/2026, True
RUC 0, 01/18/2027, True
RUC 1, 01/19/2027, True
RUC 2 y 3, 01/20/2027, True
RUC 4 y 5, 01/21/2027, True
RUC 6 y 7, 01/22/2027, True
RUC 8 y 9, 01/25/2027, True
RUC BCU, 01/26/2027, True
